구분,시도,상세주소,Latitude,Longitude,사찰명,소속단체(종단)
138,울산,울산광역시 북구 무룡로 225(연암동),35.5795628,129.3712817,옥천암,조계종
139,울산,울산광역시 북구 화봉15길 77(화봉동),35.5941597,129.374269,도솔암,조계종
140,울산,울산광역시 울주군 상북면 석남로 557,35.6193139,129.0367482,석남사,조계종
141,울산,울산광역시 울주군 온양읍 대운상대길 382,35.3989512,129.2311358,내원암,조계종
142,울산,울산광역시 울주군 청량면 문수산길 514,35.5305262,129.2147521,문수사,조계종
143,울산,울산광역시 중구 기상대길 13(북정동),35.5597755,129.3205084,해남사,조계종
144,울산,울산광역시 중구 백양로 67(성안동),35.5744907,129.3137535,백양사,조계종
145,울산,울산광역시 중구 신기16길 62(태화동),35.5562753,129.2968831,관음사,조계종
146,세종,세종특별자치시 전의면 다방리 4,36.6111806,127.1919872,비암사,조계종
147,세종,세종특별자치시 서면 월하리 1047,36.5924895,127.2792726,연화사,태고종
148,세종,세종특별자치시 조치원읍 번암리 산2-4,36.5783777,127.296392,관음암,태고종
149,세종,세종특별자치시 전의면 양곡리 산33-1,36.6372991,127.1948271,청안사,조계종
150,세종,세종특별자치시 조치원읍 신안리 139,36.6233858,127.2890669,신광사,선학원
151,세종,세종특별자치시 동면 명학리 산31-1,36.5251798,127.3478576,황룡사,조계종
152,세종,세종특별자치시 장기면 산학리 441,36.4733507,127.2277683,영평사,조계종
153,세종,세종특별자치시 서면 신대리 268-1,36.5844138,127.2462982,학림사,선학원
154,경기,경기도 가평군 북면 백둔로 21-123 (제령리 산192),37.8916992,127.5047753,대원사,조계종
155,경기,경기도 가평군 조종면 현등사길 34 (운악리 산163),37.8706346,127.3308628,현등사,조계종
156,경기,경기도 고양시 덕양구 대서문길 268 (북한동 416-8),37.6469313,126.9626722,국녕사,조계종
157,경기,경기도 고양시 덕양구 대서문길 311-35 (북한동 331),37.649574,126.9731426,노적사,조계종
158,경기,경기도 고양시 덕양구 대서문길 184 (북한동 465),37.6536489,126.9592133,무량사,법화종
159,경기,경기도 고양시 덕양구 대서문길 433 (북한동 18),37.6533476,126.9562838,봉성암,조계종
160,경기,경기도 고양시 덕양구 대서문길 197-22 (북한동 370),37.6564716,126.9690778,상운사,조계종
161,경기,경기도 고양시 덕양구 대서문길 145-63 (북한동 515-1),37.6563291,126.9592778,아미타사(구 덕암사),선학원
162,경기,경기도 고양시 덕양구 대서문길 393 (북한동 259),37.6460584,126.9766199,중흥사,조계종
163,경기,경기도 고양시 덕양구 대서문길 406 (북한동 15),37.6455367,126.9782734,태고사,태고종
164,경기,경기도 고양시 덕양구 흥국사길 82 (지축동 203),37.6637006,126.9398713,흥국사,조계종
165,경기,경기도 과천시 교육원로 41 (갈현동 산126-21),37.4226303,126.985059,보광사,조계종
166,경기,경기도 과천시 자하동길 63 (중앙동 85-1),37.4417791,126.9656062,연주암,조계종
167,경기,경기도 광주시 남한산성면 남한산성로 731-73 (산성리 198-5),37.4813259,127.1798709,개원사,조계종
168,경기,경기도 광주시 오포읍 양촌길 268-1 (양벌리 825),37.3731086,127.2718902,극락사,조계종
169,경기,경기도 광주시 남한산성면 남한산성로 680 (산성리 14),37.4810684,127.1830477,망월사,조계종
170,경기,경기도 광주시 남종면 산수로 1876-34 (귀여리 551),37.5055978,127.3163987,명성암,조계종
171,경기,경기도 광주시 도척면 도척로 982-118 (추곡리 산25-1),37.2901038,127.2949204,백련암,태고종
172,경기,경기도 광주시 남한산성면 남한산성로 676 (산성리 22-1),37.4809497,127.1836331,장경사,조계종
173,경기,경기도 광주시 도척면 방도길 66번길 148-77,37.2813539,127.3094074,수도사,조계종
174,경기,경기도 김포시 대곶면 약암로 872-80 (약암리 629-1),37.6313078,126.5585881,광은사,조계종
175,경기,경기도 김포시 승가로 73 (풍무동 662-1),37.6054334,126.7150009,금정사,조계종
176,경기,경기도 김포시 월곶면 문수산로 102-33 (성동리 232),37.7505308,126.5372611,문수사,태고종
177,경기,경기도 군포시 속달로 347-181 (속달동 329),37.3541593,126.8968145,수리사,조계종
178,경기,경기도 김포시 금포로 1487-5 (운양동 831),37.6643908,126.6755871,용화사,조계종
179,경기,경기도 남양주시 진건읍 진건오남로 390번길 284 (송능리 3),37.6754989,127.2210593,견성암,조계종
180,경기,경기도 남양주시 별내면 순화궁로 909번길 104 (청학리 578),37.700042,127.0867513,내원암,조계종
181,경기,경기도 남양주시 와부읍 수례로 661번길 174 (월문리 222),37.6233107,127.2611171,묘적사,조계종
182,경기,경기도 남양주시 화도읍 가곡로 198 (가곡리 419),37.6909706,127.2897188,보광사,조계종
183,경기,경기도 남양주시 진접읍 봉선사길 32 (부평리 255),37.7471009,127.1840046,봉선사,조계종
184,경기,경기도 남양주시 진접읍 내각2로 84-77 (내각리 148),37.712585,127.159567,봉영사,조계종
185,경기,경기도 남양주시 불암산로 190 (별내동 797),37.658725,127.0987006,불암사,조계종
186,경기,경기도 남양주시 불암산로 175 (별내동 산97),37.6599814,127.096317,석천암,조계종
187,경기,경기도 남양주시 조안면 북한강로433번길 186 (송촌리 1060),37.5704602,127.3022053,수종사,조계종
188,경기,경기도 남양주시 불암산로97번길 32-200 (별내동 797-1 ),37.6524081,127.1013068,천보사,조계종
